title,price,pegi_rating,platform
,,,
Planet Coaster: Console Edition,"21,03",PEGI-rating: 7 jaar en ouder,PlayStation 5
,,,
Planet Coaster: Console Edition,"21,03",PEGI-rating: 7 jaar en ouder,PlayStation 5
,"21,03",,PlayStation 5
,,,
Far Cry 6 (Playstation 5),"22,38",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
Far Cry 6 (Playstation 5),"22,38",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"22,38",Mediaan: ,PlayStation 5
,,,
Overcooked - All You Can Eat Edition,"34,14",PEGI-rating: 3 jaar en ouder,PlayStation 5
,,,
Overcooked - All You Can Eat Edition,"34,14",PEGI-rating: 3 jaar en ouder,PlayStation 5
,"34,14",,PlayStation 5
,,,
Cult of the Lamb - PS5,"30,71",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
Cult of the Lamb - PS5,"30,71",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"30,71",,PlayStation 5
,,,
Anno 1800 - PS5,"39,99",Mediaan: ,PlayStation 5
,,,
Anno 1800 - PS5,"39,99",Mediaan: ,PlayStation 5
,"39,99",Mediaan: ,PlayStation 5
,,,
Uncharted: Legacy Of Thieves Collection,"39,95",PEGI-rating: 16 jaar en ouder,PlayStation 5
,,,
Uncharted: Legacy Of Thieves Collection,"39,95",PEGI-rating: 16 jaar en ouder,PlayStation 5
,"39,95",Meer mogelijkheden,PlayStation 5
,,,
Terminator: Weerstand,"23,50",PEGI-rating: 12 jaar en ouder,PlayStation 5
,,,
Terminator: Weerstand,"23,50",PEGI-rating: 12 jaar en ouder,PlayStation 5
,"23,50",Mediaan: ,PlayStation 5
,,,
Sniper Ghost Warrior Contracts 2 - Elite Edition PS5 (PS5),"19,99",PEGI-rating: 18 jaar en ouder,PlayStation 5
,,,
Sniper Ghost Warrior Contracts 2 - Elite Edition PS5 (PS5),"19,99",PEGI-rating: 18 jaar en ouder,PlayStation 5
,"19,99",Advies: ,PlayStation 5
,,,
Rainbow Six Extraction - Deluxe Edition - Inclusief REACT Strike- en Deluxe pack - PS5,"10,95",PEGI-rating: 16 jaar en ouder,PS5
,,,
