title,price,pegi_rating,platform
Bratz: Flaunt your Fashion - Switch,"29,99",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"29,99",Advies: ,Nintendo Switch
,,,
Assassin's Creed: The Rebel Collection NSW (Nintendo Switch),"38,95",PEGI-rating: 18 jaar en ouder,Nintendo Switch
,,,
Assassin's Creed: The Rebel Collection NSW (Nintendo Switch),"38,95",PEGI-rating: 18 jaar en ouder,Nintendo Switch
,"38,95",Meer mogelijkheden,Nintendo Switch
,,,
"Nintendo Switch Pokemon: Let's Go, Eevee!","42,97",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
"Nintendo Switch Pokemon: Let's Go, Eevee!","42,97",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"42,97",Advies: ,Nintendo Switch
,,,
Octopath Traveler: Traveler (Nintendo Switch),,PEGI-rating: 12 jaar en ouder,Switch - Game Cartridge
,,,
Octopath Traveler: Traveler (Nintendo Switch),,PEGI-rating: 12 jaar en ouder,Switch - Game Cartridge
,,,Switch - Game Cartridge
,,,
Mijn vriendin Peppa Pig - Nintendo Switch,"24,99",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
Mijn vriendin Peppa Pig - Nintendo Switch,"24,99",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"24,99",Advies: ,Nintendo Switch
,,,
Nintendo Switch Dr. Kawashima's Brain Training,"29,99",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
Nintendo Switch Dr. Kawashima's Brain Training,"29,99",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"29,99",Advies: ,Nintendo Switch
,,,
Wreckfest - Nintendo Switch,"24,99",PEGI-rating: 12 jaar en ouder,Nintendo Switch
,,,
Wreckfest - Nintendo Switch,"24,99",PEGI-rating: 12 jaar en ouder,Nintendo Switch
,"24,99",Advies: ,Nintendo Switch
,,,
Ni no Kuni: Wrath of the White Witch Remastered (Nintendo Switch),"26,94",PEGI-rating: 12 jaar en ouder,Xbox One
,,,
Ni no Kuni: Wrath of the White Witch Remastered (Nintendo Switch),"26,94",PEGI-rating: 12 jaar en ouder,Xbox One
,"26,94",Mediaan: ,Xbox One
,,,
Sonic Mania Plus (Nintendo Switch),"24,50",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
Sonic Mania Plus (Nintendo Switch),"24,50",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"24,50",Advies: ,Nintendo Switch
,,,
Final Fantasy XII The Zodiac Age (Nintendo Switch),"27,96",PEGI-rating: 16 jaar en ouder,Nintendo Switch
,,,
Final Fantasy XII The Zodiac Age (Nintendo Switch),"27,96",PEGI-rating: 16 jaar en ouder,Nintendo Switch
,"27,96",Advies: ,Nintendo Switch
,,,
Unravel 2 - Nintendo Switch (Nintendo Switch),"29,99",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
Unravel 2 - Nintendo Switch (Nintendo Switch),"29,99",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"29,99",,Nintendo Switch
,,,
,,,
,,,
,,,
,,,
LEGO: Jurassic World (Nintendo Switch),"26,99",PEGI-rating: 7 jaar en ouder,Nintendo Switch
LEGO: Jurassic World (Nintendo Switch),"26,99",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
LEGO: Jurassic World (Nintendo Switch),"26,99",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"26,99",Advies: ,Nintendo Switch
,,,
Xenoblade Chronicles 2: Torna The Golden Country (Nintendo Switch),"38,00",PEGI-rating: 12 jaar en ouder,Nintendo Switch
,,,
Xenoblade Chronicles 2: Torna The Golden Country (Nintendo Switch),"38,00",PEGI-rating: 12 jaar en ouder,Nintendo Switch
,"38,00",Advies: ,Nintendo Switch
,,,
Dragons: Legends of The Nine Realms - NL-Versie (Nintendo Switch),"32,26",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
Dragons: Legends of The Nine Realms - NL-Versie (Nintendo Switch),"32,26",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"32,26",Advies: ,Nintendo Switch
,,,
Mario & Sonic op de Olympische Spelen: Tokio 2020 - NL versie (Nintendo Switch),"48,95",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
Mario & Sonic op de Olympische Spelen: Tokio 2020 - NL versie (Nintendo Switch),"48,95",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"48,95",Advies: ,Nintendo Switch
,,,
LEGO Harry Potter Collection Years 1-4 & 5-7 NSW,"26,75",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
LEGO Harry Potter Collection Years 1-4 & 5-7 NSW,"26,75",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"26,75",Advies: ,Nintendo Switch
,,,
Nintendo Switch Donkey Kong Country: Tropical Freeze,"48,95",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
Nintendo Switch Donkey Kong Country: Tropical Freeze,"48,95",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"48,95",,Nintendo Switch
,,,
Nintendo Fitness Boxing 2: Ritm & Oefening,"43,95",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
Nintendo Fitness Boxing 2: Ritm & Oefening,"43,95",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"43,95",Advies: ,Nintendo Switch
,,,
NBA 2K23 Nintendo Switch code in box,"19,99",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
NBA 2K23 Nintendo Switch code in box,"19,99",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"19,99",,Nintendo Switch
,,,
Nintendo Switch Cadence of Hyrule: Crypt of the NecroDancer (Featuring The Legend of Zelda),"28,99",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,,,
Nintendo Switch Cadence of Hyrule: Crypt of the NecroDancer (Featuring The Legend of Zelda),"28,99",PEGI-rating: 7 jaar en ouder,Nintendo Switch
,"28,99",Advies: ,Nintendo Switch
,,,
Just Dance 2020 (Nintendo Switch),"21,68",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
Just Dance 2020 (Nintendo Switch),"21,68",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,"21,68",Mediaan: ,Nintendo Switch
,,,
Amiibo - Super Smash Bross - Snake,,USK-beoordeling: Geen leeftijdsbeperking,Nintendo Switch
,,,
Amiibo - Super Smash Bross - Snake,,USK-beoordeling: Geen leeftijdsbeperking,Nintendo Switch
,,,Nintendo Switch
,,,
"Unbekannt Taxi-haos, 197015","28,04",Meer mogelijkheden,
,,,
"Unbekannt Taxi-haos, 197015","28,04",Meer mogelijkheden,
,"28,04",Meer mogelijkheden,
,,,
Lemon Cake NS,"25,53",PEGI-rating: 3 jaar en ouder,Nintendo Switch
,,,
Lemon Cake NS,"25,53",PEGI-rating: 3 jaar en ouder,Nintendo Switch
